tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
1649126154161225756,"@YaBoiBru Likely my final tweet regarding crypto

As I always say, if you have long term conviction in BTC and ETH, you will outperform just holding and not trading

They're only going to keep printing more money; you're unlikely to time every local move

ETH at 10k is one day programmed",en,Retweet,227,2248,326,219,252991,2023-04-20 21:01:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1658042753408745472,"Jaw Dropping Graphics &amp; An Amazing Story 🔥 The No.1 Quest Game of 2022⚡

Play your way through a visually-stunning fantasy RPG with 500+ Champions  🧙‍♂️ 👻",en,Tweet,13,220,51,25,549199,2023-05-15 11:32:52,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">advertiser-interface</a>",,,,
1649446400248233984,"Eid-ul-Fitr Mubarak

Wishing you all peace, happiness, harmony, good health and prosperity on the occasion of Eid https://t.co/Nl0utAEUdk",en,Tweet,10,1543,95,131,170933,2023-04-21 18:14:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/FuQCu51XsAAqyJQ.jpg
1649122480601137153,"AI startup idea for someone 

Create something that identifies probabilistic model for which new uniswap meme coins will be rugs

With a large enough data set of prior rugs, likely to be some identifying variables

A16z writes you large check in 2025 for https://t.co/nhGd8s0mwv",en,Tweet,212,1081,67,106,221009,2023-04-20 20:46:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,http://RUG.AI,,
1649125581173211136,"@YaBoiBru However, I continue to underestimate the influence CT accounts can have in an illiquid market, and will likely pivot to just political tweets

If specific, I may have some influence on an asset price/asset class

If I'm cryptic, people overextrapolate + make poor decisions",en,Reply,7,308,3,16,34904,2023-04-20 20:59:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1649126154161225756,"@YaBoiBru Likely my final tweet regarding crypto

As I always say, if you have long term conviction in BTC and ETH, you will outperform just holding and not trading

They're only going to keep printing more money; you're unlikely to time every local move

ETH at 10k is one day programmed",en,Reply,227,2248,326,219,252991,2023-04-20 21:01:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1649125013390229517,"@YaBoiBru Tweet was inspired by the group chats I'm in, in which people were going max long on DOGE and meme coins, simply because it was 4/20;  seemed locally frothy

Seemed prudent for me to advice people to take some caution and not round trip their profits [as I saw play out in 2019]",en,Reply,12,337,12,9,41367,2023-04-20 20:56:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1664546099896647683,"Tired of Brief web3 explanation? 🙄
Join the web3 rocketship 🚀with Metaschool! 

✅Web3 courses with a predefined path
✅NFT on course completion
✅Access to 20,000+ members on Discord
✅Trusted by 1,30,000 web3 developer 
✅Rated 4.7⭐  with  10k+ Reviews

Sign up today!",en,Tweet,0,9,0,0,6168,2023-06-02 10:14:50,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">advertiser-interface</a>",,,,
1649072907505618945,"拿

利润

ancient chinese proverb",zh,Tweet,84,1840,250,288,553288,2023-04-20 17:29:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1649075001792819204,@cryptowoetoe 68992e16c2966805025d415a59d7d72aae4cfceeb8fafc703ae256f0a268077c,pt,Reply,10,140,5,35,64357,2023-04-20 17:38:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1423300168309526533,"@Aftertilt When 95% of traders are anticipating a sell the news event, it's almost always going to buy what I've referred to in the past as, ""inverse sell the news""

Lot of people sidelined with fear of an event are forced to fomo back in

Sell the news happens when it's unexepected",en,Retweet,183,813,90,18,,2021-08-05 17:09:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1645874791205797889,"Poll to gauge sentiment 

Will Ethereum's latest upgrade, dubbed Shanghai, result in",en,Tweet,21,406,30,136,226381,2023-04-11 21:41:43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1641932954745143296,"RIP @BittrexGlobal
First exchange I traded heavily on

Fond memories of losing money on DragonChain
Never got hacked or misappropriated user funds, but was in the wrong jurisdiction",en,Tweet,15,1087,38,79,250334,2023-04-01 00:38:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1663164536223039494,"Protect your devices from hackers, snoopers and phishing attempts with an award-winning product!",en,Tweet,0,11,2,0,32166,2023-05-29 14:45:00,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">advertiser-interface</a>",,,,
1638764252126167040,Ramadan Mubarak to all the Muslim brothers and sisters in the world https://t.co/dZmuhffpnV,en,Tweet,11,2077,142,99,189219,2023-03-23 05:46:59,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/Fr4PZH_XwAEsqgY.jpg
1638555016104427520,"Trump's arrest and martyrdom makes it more, not less, likely he is the victor

Maintain &gt; 90% odds he is the Republican nominee",en,Tweet,23,826,43,52,221453,2023-03-22 15:55:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1638555937718820864,"@CancelledPapi The market is simply wrong

DeSantis being ahead of Trump in prediction markets will be seen years from now as one of all the time great blunders in punditry and pricing",en,Reply,5,107,1,11,9279,2023-03-22 15:59:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1637612427624718338,"Don't get too high;  the entire banking system is not going to collapse overnight, leading to hyperbitcoinization + 1 million $ BTC

Don't get too low; when we get a correction, this wasn't a scam pump engineered by CZ for exit liq, going back to 0

Stay even

Study 2019 and 2020",en,Tweet,292,4439,496,170,512921,2023-03-20 01:30:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1637506939318947843,"As the bottom of the last cycle was marked by forced selling from hedge funds

Bottom of next cycle could be marked by capitulation from developing nations

Nayib Bukele + El Salvador as a test run; next cycle, we see small countries overleveraging on BTC near the top

Years away",en,Tweet,347,3194,318,117,318766,2023-03-19 18:30:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1637513063095058435,"@TraderZayne @PaulioK87 No

Study 2019

https://t.co/wQ3fx2GuGn",en,Reply,11,78,5,5,20558,2023-03-19 18:55:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://twitter.com/GCRClassic/status/1616640266479325185,,
1649508878269153280,"Solidity Debugger Pro is here! 

Solidity Debugger Pro is a VS Code extension that allows you to debug Solidity smart contracts. It is free &amp; open source, cross-platform, and supports all EVM blockchains. Get it from the marketplace!",en,Tweet,77,281,58,16,756574,2023-04-21 22:22:17,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">advertiser-interface</a>",,,,
1637512240935976961,"@Elmario98334491 people always want to interpret my tweets in such a binary manner

if I say no all time highs in 2023, they want go max short

if i discuss the nature of a bull market years away, they want to go max long

this isn't going  'Up Only;  I've always compared this to 2019

study 2019",en,Reply,23,211,8,9,11615,2023-03-19 18:51:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1637508299179319297,"@PaulioK87 I've been pretty emphatic the bottom was in for months now;  said it at 16k, and then 20k, and then 22k

i think people need to finally come to terms they're never getting the 12k they wanted;  even when we inevitably do get a correction, it will not be back to 2022 lows",en,Reply,31,416,32,17,14896,2023-03-19 18:36:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1637507531726544896,"@vivideonic Many don't understand echo bubbles, or that they are the beginning stages and base for a bull run to come

See this tweet from January

https://t.co/wQ3fx2GuGn",en,Reply,19,179,12,8,23267,2023-03-19 18:33:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://twitter.com/GCRClassic/status/1616640266479325185,,
1637448565944381442,"US Hyperinflation Before 2050?

Forecasters on metaculus are assigning it 5%

And this gives a 27 year time interval, much longer than a few months

I went much higher than 5%, but still very unlikely [(CPI U) has an annual growth rate of at least 100%]

https://t.co/PO329i5LZ3",en,Tweet,71,625,53,53,112214,2023-03-19 14:38:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.metaculus.com/questions/6604/us-hyperinflation-before-2050/,,
1637454182012575745,"@HumaCapital I view it unlikely BTC will flip the marketcap of GOLD in those time intervals

At 1 million, it's 2x GOLD [although have to factor in future appreciation of GOLD, which I also hold]",en,Reply,5,107,2,13,8710,2023-03-19 15:01:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1637235380637278208,"@wabdoteth @balajis not short, and still holding my long term btc and eth bags

but thought people need some realistic expectations or they'll get shaken out of the long game when they're not millionaires in 3 months",en,Reply,10,457,17,16,19078,2023-03-19 00:31:47,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1637232729765949440,"@balajis as the years pass, we will increasingly trust code over governments

but it happens over years and decades, not months 

1 million usd is obviously unrealistic;  but even a more reasonable target, breaking all time high of 69k, will not happen in 2023

nature is still healing",en,Reply,60,1944,107,79,195722,2023-03-19 00:21:15,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1595567684065923072,"crypto dead forever?

while we will spend the lions share of energy+ambitions erecting even more complex and obfuscated ponzi schemes

we are, very slowly, replacing the global financial system with software that nobody controls

digital assets for an increasingly digital reality",en,Tweet,170,4746,715,370,,2022-11-24 00:59:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1637227437200113665,"@joshpagano @nauhcner echo bubble
price targets for this year have become wildly optimistic

can't believe anyone is entertaining 1 million per coin

no chance of new all time highs in 2023
none

remain bullish on the future and what we're building",en,Reply,17,239,29,12,59422,2023-03-19 00:00:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
