2026/07/16 15:14:41.625, NVIDIA GeForce RTX 3090, 1 MiB, 24576 MiB, 0 %
2026/07/16 15:14:41.907, NVIDIA GeForce RTX 3090, 1 MiB, 24576 MiB, 0 %
2026/07/16 15:14:42.185, NVIDIA GeForce RTX 3090, 1 MiB, 24576 MiB, 0 %
2026/07/16 15:14:42.463, NVIDIA GeForce RTX 3090, 1 MiB, 24576 MiB, 0 %
2026/07/16 15:14:42.740, NVIDIA GeForce RTX 3090, 1 MiB, 24576 MiB, 0 %
2026/07/16 15:14:43.017, NVIDIA GeForce RTX 3090, 1 MiB, 24576 MiB, 0 %
2026/07/16 15:14:43.295, NVIDIA GeForce RTX 3090, 1 MiB, 24576 MiB, 0 %
2026/07/16 15:14:43.572, NVIDIA GeForce RTX 3090, 1 MiB, 24576 MiB, 0 %
2026/07/16 15:14:43.849, NVIDIA GeForce RTX 3090, 1 MiB, 24576 MiB, 0 %
2026/07/16 15:14:44.126, NVIDIA GeForce RTX 3090, 1 MiB, 24576 MiB, 0 %
2026/07/16 15:14:44.403, NVIDIA GeForce RTX 3090, 1 MiB, 24576 MiB, 0 %
2026/07/16 15:14:44.680, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:44.957, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:45.234, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:45.510, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:45.786, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:46.062, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:46.339, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:46.618, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:46.898, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:47.175, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:47.452, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:47.729, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:48.007, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:48.284, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:48.561, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:48.838, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:49.114, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:49.392, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:49.669, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:49.945, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:50.223, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:50.500, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:50.778, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:51.055, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:51.333, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:51.610, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:51.887, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:52.164, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:52.441, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:52.717, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:52.994, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:53.271, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:53.548, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:53.825, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:54.102, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:54.379, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:54.656, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:54.933, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:55.210, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:14:55.487, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
