2026/07/16 15:30:59.759, NVIDIA GeForce RTX 3090, 1 MiB, 24576 MiB, 0 %
2026/07/16 15:31:00.292, NVIDIA GeForce RTX 3090, 1 MiB, 24576 MiB, 0 %
2026/07/16 15:31:00.821, NVIDIA GeForce RTX 3090, 1 MiB, 24576 MiB, 0 %
2026/07/16 15:31:01.348, NVIDIA GeForce RTX 3090, 1 MiB, 24576 MiB, 0 %
2026/07/16 15:31:01.883, NVIDIA GeForce RTX 3090, 1 MiB, 24576 MiB, 0 %
2026/07/16 15:31:02.419, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:31:02.954, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:31:03.486, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:31:04.014, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:31:04.542, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:31:05.070, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:31:05.597, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:31:06.125, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:31:06.652, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:31:07.179, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:31:07.707, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:31:08.234, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:31:08.761, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:31:09.289, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:31:09.816, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:31:10.343, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:31:10.870, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:31:11.420, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:31:11.958, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:31:12.485, NVIDIA GeForce RTX 3090, 4 MiB, 24576 MiB, 0 %
2026/07/16 15:31:13.011, NVIDIA GeForce RTX 3090, 570 MiB, 24576 MiB, 0 %
2026/07/16 15:31:13.534, NVIDIA GeForce RTX 3090, 570 MiB, 24576 MiB, 0 %
2026/07/16 15:31:14.057, NVIDIA GeForce RTX 3090, 570 MiB, 24576 MiB, 0 %
2026/07/16 15:31:14.579, NVIDIA GeForce RTX 3090, 570 MiB, 24576 MiB, 0 %
2026/07/16 15:31:15.102, NVIDIA GeForce RTX 3090, 570 MiB, 24576 MiB, 0 %
2026/07/16 15:31:15.625, NVIDIA GeForce RTX 3090, 570 MiB, 24576 MiB, 0 %
2026/07/16 15:31:16.196, NVIDIA GeForce RTX 3090, 570 MiB, 24576 MiB, 0 %
2026/07/16 15:31:16.774, NVIDIA GeForce RTX 3090, 570 MiB, 24576 MiB, 0 %
2026/07/16 15:31:17.311, NVIDIA GeForce RTX 3090, 718 MiB, 24576 MiB, 35 %
2026/07/16 15:31:17.841, NVIDIA GeForce RTX 3090, 810 MiB, 24576 MiB, 0 %
2026/07/16 15:31:18.377, NVIDIA GeForce RTX 3090, 810 MiB, 24576 MiB, 0 %
2026/07/16 15:31:18.903, NVIDIA GeForce RTX 3090, 1262 MiB, 24576 MiB, 60 %
2026/07/16 15:31:19.431, NVIDIA GeForce RTX 3090, 4018 MiB, 24576 MiB, 64 %
2026/07/16 15:31:19.956, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:20.480, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:21.003, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:21.526, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:22.049, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:22.573, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:23.097, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:23.619, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:24.144, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:24.667, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:25.191, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:25.714, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:26.238, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:26.761, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:27.284, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:27.807, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:28.330, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:28.853, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:29.376, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:29.899, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:30.422, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:30.945, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:31.469, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:31.992, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:32.515, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:33.038, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:33.561, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:34.084, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:34.607, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:35.130, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:35.653, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:36.177, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
